method,url_path,source_file,requires_auth,auth_mechanism,accepts_untrusted_input,validates_input,writes_data,calls_stripe_or_supabase
DELETE,/api/notes/:,app/api/notes/[id]/route.ts,yes,getUser,no,no,yes,yes
DELETE,/api/tax/documents/:,app/api/tax/documents/[id]/route.ts,yes,getUser,no,no,yes,yes
GET,/api/account/export,app/api/account/export/route.ts,yes,requireApiAuth,no,no,yes,yes
GET,/api/admin/analytics,app/api/admin/analytics/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/analytics/overview,app/api/admin/analytics/overview/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/applications-secure/:,app/api/admin/applications-secure/[id]/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/audit-logs,app/api/admin/audit-logs/route.ts,yes,apiRequireAdmin,no,no,no,no
GET,/api/admin/catalog/full,app/api/admin/catalog/full/route.ts,yes,apiRequireAdmin,no,no,no,no
GET,/api/admin/catalog/summary,app/api/admin/catalog/summary/route.ts,yes,apiRequireAdmin,no,no,no,yes
GET,/api/admin/completions,app/api/admin/completions/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/course-analytics/:,app/api/admin/course-analytics/[courseId]/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/email-stats,app/api/admin/email-stats/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/entity-docs,app/api/admin/entity-docs/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/export-etpl,app/api/admin/export-etpl/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/export/enrollments,app/api/admin/export/enrollments/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/export/students,app/api/admin/export/students/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/export/weekly-hours,app/api/admin/export/weekly-hours/route.ts,yes,getUser,no,no,no,yes
GET,/api/admin/jobs,app/api/admin/jobs/route.ts,yes,apiRequireAdmin,no,no,no,yes
GET,/api/admin/learner/info,app/api/admin/learner/info/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/learner/notes,app/api/admin/learner/notes/route.ts,yes,withAuth,no,no,no,yes
GET,/api/admin/monitoring/errors,app/api/admin/monitoring/errors/route.ts,yes,getUser,no,no,no,yes
